Sample	0h	6h	3d	7d	11d
SMED30026351	0.971951	1.50656	1.47221	1.87725	2.58998
SMED30026352	0.102952	0.0516388	0.0709497	0.150108	0.0110912
SMED30026357	0.436265	0.559798	1.36589	0.428838	0.471845
SMED30026362	17.6925	15.7745	10.5366	9.80609	9.66958
SMED30026364	29.1196	29.7779	31.5187	35.318	29.8107
SMED30026368	0.999512	0.970475	1.345	0.550477	0.807989
SMED30026369	119.277	113.167	142.948	146.806	134.602
SMED30026374	0.0743968	0.0983138	0	0.03701	0.0849875
SMED30026376	0.155975	0.0199594	0.0199297	0.0293636	0
SMED30026380	2.34199	2.43615	2.59445	2.50224	2.28608
SMED30026382	1.63754	2.04834	2.19006	1.63377	1.83544
SMED30026385	0.868166	0.984165	0.769715	0.807853	0.89468
SMED30026394	656.41	502.005	190.342	170.73	92.0312
